,Date,Volume tag,File number
283,12.10.2023 00:00,SX6495L6,5
284,13.10.2023 00:00,SX6495L6,27
285,14.10.2023 00:00,SX6495L6,49
286,15.10.2023 00:00,SX6498L6,5
287,16.10.2023 00:00,SX6498L6,27
288,17.10.2023 00:00,SX6498L6,49
289,18.10.2023 00:00,SX6499L6,4
290,19.10.2023 00:00,SX6499L6,25
291,20.10.2023 00:00,SX6499L6,45
292,21.10.2023 00:00,SX6499L6,66
293,22.10.2023 00:00,SX6500L6,16
294,23.10.2023 00:00,SX6500L6,37
295,24.10.2023 00:00,SX6500L6,57
296,25.10.2023 00:00,SX6501L6,8
297,26.10.2023 00:00,SX6501L6,29
298,27.10.2023 00:00,SX6501L6,50
299,28.10.2023 00:00,SX6503L6,3
300,29.10.2023 00:00,SX6503L6,24
301,30.10.2023 00:00,SX6503L6,44
302,31.10.2023 00:00,SX6503L6,65
303,01.11.2023 00:00,SX6504L6,16
304,02.11.2023 00:00,SX6504L6,37
305,03.11.2023 00:00,SX6504L6,58
306,04.11.2023 00:00,SX6511L6,10
307,05.11.2023 00:00,SX6511L6,30
308,06.11.2023 00:00,SX6511L6,50
309,07.11.2023 00:00,SX6512L6,5
310,08.11.2023 00:00,SX6512L6,25
311,09.11.2023 00:00,SX6512L6,46
312,10.11.2023 00:00,SX6640L6,3
313,11.11.2023 00:00,SX6640L6,24
314,12.11.2023 00:00,SX6640L6,44
315,13.11.2023 00:00,SX6640L6,64
316,14.11.2023 00:00,SX6641L6,16
317,15.11.2023 00:00,SX6641L6,36
318,16.11.2023 00:00,SX6641L6,57
319,17.11.2023 00:00,SX6644L6,7
320,18.11.2023 00:00,SX6644L6,27
321,19.11.2023 00:00,SX6644L6,48
322,20.11.2023 00:00,SX6650L6,3
323,21.11.2023 00:00,SX6650L6,24
324,22.11.2023 00:00,SX6650L6,44
325,23.11.2023 00:00,SX6650L6,65
326,24.11.2023 00:00,SX6652L6,16
327,25.11.2023 00:00,SX6652L6,36
328,26.11.2023 00:00,SX6652L6,57
329,27.11.2023 00:00,SX6653L6,6
330,28.11.2023 00:00,SX6653L6,26
331,29.11.2023 00:00,SX6653L6,46
332,30.11.2023 00:00,SX6654L6,0
333,01.12.2023 00:00,SX6654L6,21
334,02.12.2023 00:00,SX6654L6,41
335,03.12.2023 00:00,SX6654L6,62
336,04.12.2023 00:00,UG9949L6,15
337,05.12.2023 00:00,UG9949L6,35
338,06.12.2023 00:00,UG9949L6,56
339,07.12.2023 00:00,UG9946L6,9
340,08.12.2023 00:00,UG9946L6,30
341,09.12.2023 00:00,UG9946L6,51
342,10.12.2023 00:00,UG9947L6,4
343,11.12.2023 00:00,UG9947L6,25
344,12.12.2023 00:00,UG9947L6,46
345,13.12.2023 00:00,UG9947L6,66
346,14.12.2023 00:00,UG9941L6,17
347,15.12.2023 00:00,UG9941L6,37
348,16.12.2023 00:00,UG9941L6,57
349,17.12.2023 00:00,UG9942L6,9
350,18.12.2023 00:00,UG9942L6,30
351,19.12.2023 00:00,UG9942L6,50
352,20.12.2023 00:00,UG9950L6,5
353,21.12.2023 00:00,UG9950L6,25
354,22.12.2023 00:00,UG9950L6,45
355,23.12.2023 00:00,UG9951L6,2
356,24.12.2023 00:00,UG9951L6,23
357,25.12.2023 00:00,UG9951L6,44
358,26.12.2023 00:00,UG9951L6,64
359,27.12.2023 00:00,UG9952L6,15
360,28.12.2023 00:00,UG9952L6,36
361,29.12.2023 00:00,UG9952L6,57
362,30.12.2023 00:00,UG9953L6,9
363,31.12.2023 00:00,UG9953L6,30
